"source"|"blue"|"orange"|"green"|"yellow"|"brown"|"red"
"SP2008"|9|11|16|6|7|6
"SP2008"|5|11|15|5|6|12
"SP2008"|13|6|17|2|10|7
"SP2008"|11|8|10|10|9|6
"SP2008"|4|13|18|6|7|7
"SP2008"|4|12|10|11|14|7
"SP2008"|10|5|16|10|6|7
"SP2008"|17|12|5|7|6|10
"SP2008"|11|10|12|11|6|6
"SP2008"|13|10|11|8|7|5
"SP2008"|8|9|9|10|11|8
"SP2008"|7|12|12|10|6|9
"SP2008"|13|9|16|6|2|8
"SP2008"|10|5|10|10|12|7
"SP2008"|8|11|9|2|15|10
"SP2008"|11|7|9|9|8|10
"SP2008"|4|9|14|6|17|14
"SP2008"|13|7|13|10|8|4
"SP2008"|10|10|10|5|7|13
"SP2008"|13|8|12|7|3|11
"SP2008"|10|10|11|7|11|10
"SP2008"|9|7|10|10|9|9
"SP2008"|5|13|12|5|12|11
"SP2008"|11|11|10|6|8|8
"SP2008"|8|11|13|6|7|10
"SP2008"|3|14|16|10|6|7
"SP2008"|14|8|9|7|12|6
"SP2008"|9|11|8|10|10|5
"SP2008"|10|14|11|10|5|7
"SP2008"|14|10|10|9|3|8
"SP2008"|8|9|15|11|5|8
"SP2008"|12|8|13|6|10|6
"SP2008"|12|4|10|7|7|15
"SP2008"|15|6|13|7|6|8
"SP2008"|12|11|11|9|7|6
"SP2008"|15|16|7|3|7|8
"SP2008"|13|7|11|10|6|8
"SP2008"|11|13|11|3|5|13.5
"SP2008"|9|10|14|8|9|5
"SP2008"|13|6|12|6|8|10
"SP2008"|15|9|6|9|8|8.5
"SP2008"|13|10|9|6|7|7
"SP2008"|21|3|15|10|4|4
"SP2008"|10|11|15|8|9|2
"SP2008"|9|9|12|9|9|7
"SP2008"|6|11|17|9|6|6
"SP2008"|8|7|17|8|5|9
"SP2008"|8|15|13|6|13|4
"SP2008"|13|16|3|12|5|7
"SP2008"|5|11|12|8|8|12
"SP2008"|8|16|10|8|6|6
"SP2008"|9|5|12|17|9|5
"SP2008"|5|13|9|5|10|12
"SP2008"|10|15|6|10|6|6
"SP2008"|9|12|11|6|6|10
"SP2008"|17|13|9|5|6|7
"SP2008"|13|10|9|6|8|11
"SP2008"|1|17|12|12|9|5
"SP2008"|9|11|12|9|8|6
"SP2008"|5|14|10|8|14|4
"SP2008"|9|11|20|3|6|5
"SP2008"|17|8|9|8|5|8
"SP2008"|13|11|7|10|8|6
"SP2008"|10|12|7|12|8|5
"SP2008"|9|14|9|11|4|12
"SP2008"|8|8|15|8|12|5
"SP2008"|4|11|10|10|14|6
"SP2008"|8|5|14|8|19|6
"SP2008"|11|15|15|5|3|6
"SP2008"|6|6|13|10|12|8
"SP2008"|9|10|11|6|11|10
"SP2008"|12|6|10|5|14|6
"SP2008"|11|7|17|7|8|6
"SP2012"|9|12|9|8|13|4
"SP2012"|12|12|9|13|6|2
"SP2012"|12|17|5|9|7|4
"SP2012"|23|8|5|5|8|5
"SP2012"|15|8|10|12|6|6
"SP2012"|16|11|7|5|8|8
"SP2012"|16|12|10|5|6|4
"SP2012"|22|12|7|9|6|3
"SP2012"|7|13|12|14|5|2
"SP2012"|15|13|10|10|3|5
"SP2012"|17|9|7|11|7|5
"SP2012"|17|15|10|5|5|2
"SP2012"|24|10|8|5|8|5
"SP2012"|11|9|14|8|8|3
"SP2012"|12|16|3|6|5|10
"SP2012"|16|8|8|10|6|8
"SP2012"|14|9|6|10|8|6
"SP2012"|15|13|7|10|4|7
"SP2012"|22|11|5|8|4|6
"SP2012"|13|6|11|13|9|5
"SP2012"|19|12|4|5|9|7
"SP2012"|12|11|13|8|6|5
"SP2012"|20|12|5|6|9|6
"SP2012"|12|13|7|12|3|9
"SP2012"|22|9|5|3|10|8
"SP2012"|18|15|8|3|6|3
"SP2012"|16|12|9|5|8|8
"SP2012"|13|10|9|7|9|4
"SP2012"|16|17|7|6|8|8
"SP2012"|11|11|18|8|6|2
"SP2012"|14|14|3|14|6|5
"SP2012"|25|12|7|4|4|6
"SP2012"|9|14|17|4|7|4
"SP2012"|28|17|1|6|6|2
"SP2012"|15|10|9|4|11|8
"SP2012"|15|9|8|13|7|6
"SP2012"|15|10|7|11|6|5
"SP2012"|21|12|6|5|5|7
"SP2012"|16|19|4|8|4|8
"SP2012"|11|15|14|8|5|3
"SP2012"|17|15|4|6|7|7
"SP2012"|11|11|11|11|7|4
"SP2012"|11|11|6|11|10|8
"SP2012"|14|16|11|8|3|6
"SP2012"|23|6|6|13|5|5
"SP2012"|12|9|9|15|9|4
"SP2012"|19|10|4|8|8|6
"SP2012"|15|11|10|7|5|9
"SP2012"|10|9|15|5|7|6
"SP2012"|18|13|6|11|2|4
"SP2012"|20|11|8|5|7|4
"SP2012"|13|13|5|10|6|7
"SP2012"|14|14|8|6|8|9
"SP2012"|19|17|7|4|6|3
"SP2012"|14|6|9|10|10|6
"SP2012"|13|16|4|3|3|8
"SP2012"|14|9|12|6|10|2
"SP2012"|10|12|14|13|4|2
"SP2012"|15|12|9|7|4|8
"SP2012"|15|17|5|5|8|9
"SP2015"|13|14|17|2|3|11
"SP2015"|13|18|8|9|4|6
"SP2015"|5|11|11|11|9|11
"SP2015"|11|11|9|10|8|8
"SP2015"|13|20|11|4|1|8
"SP2015"|13|11|16|5|4|8
"SP2015"|11|17|12|4|7|7
"SP2015"|13|12|7|11|7|6
"SP2015"|11|23|10|5|5|4
"SP2015"|16|16|11|2|5|8
"SP2015"|15|16|6|4|10|4
"SP2015"|11|13|13|2|9|9
"SP2015"|11|16|9|9|8|6
"SP2015"|7|16|10|7|6|8
"SP2015"|17|10|8|8|10|9
"SP2015"|12|11|10|5|15|4
"SP2015"|17|13|11|3|9|4
"SP2015"|8|14|12|6|7|10
"SP2015"|11|10|9|8|7|8
"SP2015"|13|12|9|8|9|6
"SP2015"|14|9|9|8|9|10
"SP2015"|13|13|11|10|8|5
"SP2015"|11|15|1|14|6|10
"SP2015"|11|15|8|7|4|11
"SP2015"|14|8|10|9|7|5
"SP2015"|12|13|13|6|2|9
"SP2015"|11|10|12|9|6|10
"SP2015"|8|12|8|11|10|8
"SP2015"|12|11|14|6|8|6
"SP2015"|13|14|6|4|9|6
"SP2015"|16|12|9|7|9|5
"SP2015"|11|16|7|8|7|7
"SP2015"|12|14|13|7|8|4
"SP2015"|12|14|9|9|4|12
"SP2015"|11|10|13|5|9|9
"SP2015"|14|10|13|5|6|6
"SP2015"|16|9|10|8|5|9
"SP2015"|21|8|9|4|4|11
"SP2015"|15|11|9|8|7|8
"SP2015"|17|12|5|8|7|9
"SP2015"|11|15|9|11|6|7
"SP2015"|13|9|8|4|7|16
"SP2015"|13|16|9|4|6|10
"SP2015"|7|13|15|6|6|11
"SP2015"|10|16|17|1|2|10
"SP2015"|12|10|19|4|4|7
"SP2015"|10|18|9|8|4|8
"SP2015"|16|11|12|6|5|7
"SP2015"|8|17|11|11|6|3
"SP2015"|7|15|11|7|8|8
"SP2015"|13|10|12|10|4|7
"SP2015"|15|14|12|9|5|3
"SP2015"|14|20|18|1|3|4
"SP2015"|14|12|5|5|12|9
"SP2015"|11|13|7|7|6|9
"SP2015"|16|7|11|9|5|10
"SP2015"|9|7|19|6|5|13
"SP2015"|13|12|9|10|6|8
"SP2015"|16|19|8|5|5|6
"SP2015"|7|14|9|8|6|6
"SP2015"|15|12|6|8|8|9
"SP2015"|10|10|11|9|5|12
"SP2015"|15|14|6|4|6|13
"SP2015"|10|19|6|4|12|7
"SP2015"|20|12|8|4|8|5
"SP2015"|12|13|8|10|7|6
"SP2015"|14|9|4|13|9|9
"SP2015"|14|13|5|6|6|12
"SP2015"|16|9|11|15|6|1
"SP2015"|14|12|15|6|8|4
"SP2015"|13|13|3|7|8|12
"SP2015"|11|10|20|5|6|7
"SP2015"|8|20|13|5|7|6
"SP2015"|7|16|14|5|7|9
"SP2015"|12|16|8|11|3|5
"SP2015"|14|16|17|4|3|4
"SP2015"|12|14|12|5|7|9
"SP2015"|7|14|18|8|4|6
"SP2015"|12|13|9|4|7|12
"SP2015"|14|13|16|2|7|9
"SP2015"|21|14|14|1|4|7
"SP2015"|9|11|13|7|10|9
"SP2015"|8|17|14|10|6|3
"SP2015"|8|15|20|4|5|6
"SP2015"|13|14|11|5|4|11
"SP2015"|13|17|14|6|6|1
"SP2015"|10|22|13|7|1|4
"SP2015"|11|11|11|9|6|8
"SP2015"|13|20|16|2|4|4
"SP2015"|11|14|13|4|3|12
"SP2015"|5|13|4|10|12|11
"SP2015"|14|12|8|5|12|7
"SP2015"|6|20|6|6|14|7
"SP2015"|11|16|17|4|4|8
"SP2015"|13|13|17|5|5|4
"SP2015"|17|10|15|3|5|9
"SP2015"|10|20|9|5|1|15
"SP2015"|14|16|16|2|3|7
"SP2015"|18|19|7|3|5|8
"SP2015"|15|13|11|4|5|7
